"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","16/346","189/9522",0.0846560846560847,2.32975502339664,3.58545716431163,0.00141993510516689,0.00440927216867614,0.00207680259149063,"7226/3725/4790/387/6772/118429/837/838/1508/5599/5601/834/846/3576/3553/331",16
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","11/346","105/9522",0.104761904761905,2.88307184145334,3.76754009649767,0.00145998457474992,0.00448641093282527,0.00211313556871699,"6387/4790/7132/3383/6850/7412/3576/3553/3932/23643/331",11
"Human Diseases","Cancer: specific types","hsa05214","Glioma","9/346","76/9522",0.118421052631579,3.25897474901126,3.839253876232,0.00165558052481086,0.00503501293628045,0.00237153151682077,"1019/5159/1956/801/207/208/10000/817/5582",9
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","14/346","157/9522",0.089171974522293,2.45403335665108,3.56716283467767,0.00170405672190293,0.00512955849960577,0.00241606323621039,"240/4953/5732/5734/5781/246/1385/6868/8754/817/5468/383/384/834",14
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","10/346","92/9522",0.108695652173913,2.99132947976879,3.72678054742067,0.00179796291548524,0.00535756626331461,0.00252345672348806,"5159/1956/81027/111/1813/3356/3357/3358/5582/5593",10
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","9/346","77/9522",0.116883116883117,3.2166504016215,3.79222602962327,0.00181615004985145,0.00535764264706177,0.00252349270084622,"1488/3065/3066/4790/5781/1019/207/208/10000",9
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","10/346","93/9522",0.10752688172043,2.95916464665299,3.68665265142689,0.00195120173668156,0.00569905457743623,0.00268430046109396,"4790/5915/1017/1019/207/208/10000/842/4843/331",10
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","11/346","109/9522",0.100917431192661,2.77727103993212,3.62372734651688,0.00197692026320696,0.00571756350633386,0.00269301831520453,"2353/3725/4790/6772/3718/3558/196/5599/5601/3553/3932",11
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","10/346","95/9522",0.105263157894737,2.89686644356556,3.60798258285081,0.00228930019953954,0.00655673358120548,0.00308827415778456,"6387/2353/3725/4312/3383/7422/1514/4314/3576/3553",10
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","18/346","238/9522",0.0756302521008403,2.08136202457862,3.28053485237049,0.00260816865954817,0.0073981707169876,0.00348459780425464,"2782/54331/4790/5781/387/5159/1956/4914/801/3815/5228/7422/207/208/10000/5599/5601/5582",18
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","16/346","203/9522",0.0788177339901478,2.16908226316239,3.26934734874832,0.00294836545271067,0.00820535668443065,0.00386478887544994,"3725/387/2932/5159/1956/5228/7422/207/208/10000/824/5599/5601/5582/2534/331",16
